City,StateProvinceName,CountryRegionName,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,AvgMonthSpend
St. Leonards,New South Wales,Australia,2/12/1966 12:00:00 AM,Partial College,Management,F,S,1,3,0,1,107883,1,52.81
Beaverton,Oregon,United States,7/4/1957 12:00:00 AM,High School,Clerical,F,M,1,1,2,2,80056,1,53.16
Bury,England,United Kingdom,1/28/1985 12:00:00 AM,Partial High School,Skilled Manual,M,S,0,2,0,0,54577,1,49.8
Lebanon,Oregon,United States,9/26/1986 12:00:00 AM,Bachelors,Manual,M,M,0,0,1,1,36070,1,59.05
Hobart,Tasmania,Australia,5/11/1984 12:00:00 AM,Bachelors,Skilled Manual,M,M,1,2,1,2,54049,1,54.19
Wollongong,New South Wales,Australia,6/4/1999 12:00:00 AM,Partial College,Management,M,S,0,1,0,0,112726,0,55.8
Runcorn,England,United Kingdom,2/19/1971 12:00:00 AM,Partial College,Manual,M,M,1,1,0,2,29749,0,48.95
Coronado,California,United States,4/5/1978 12:00:00 AM,Bachelors,Skilled Manual,M,M,1,2,2,2,56820,1,55.26
Redwood City,California,United States,6/24/1970 12:00:00 AM,Partial College,Management,F,S,1,3,0,0,102647,1,51.75
Solingen,Nordrhein-Westfalen,Germany,5/20/1996 12:00:00 AM,Partial College,Clerical,F,S,0,2,0,0,82258,1,51.48
Sedro Woolley,Washington,United States,1/22/1977 12:00:00 AM,High School,Skilled Manual,M,M,1,1,2,2,54200,1,55.34
Oakland,California,United States,1/13/1996 12:00:00 AM,Partial College,Skilled Manual,F,S,0,2,0,0,60908,1,51.97
Hawthorne,Queensland,Australia,6/2/1987 12:00:00 AM,Bachelors,Management,M,S,1,2,0,0,105007,1,54.5
Sedro Woolley,Washington,United States,10/10/1976 12:00:00 AM,High School,Manual,F,M,1,0,1,1,32319,1,48.12
Gold Coast,Queensland,Australia,2/5/1982 12:00:00 AM,Partial College,Skilled Manual,M,S,0,1,0,0,52311,0,57.27
Port Hammond,British Columbia,Canada,10/7/1980 12:00:00 AM,Partial College,Clerical,F,S,1,2,0,0,82851,0,54.25
Olympia,Washington,United States,8/2/1971 12:00:00 AM,High School,Manual,M,M,1,1,2,2,29111,0,53.22
Villeneuve-d'Ascq,Nord,France,4/27/1988 12:00:00 AM,Graduate Degree,Clerical,M,M,1,1,1,1,81985,1,52.19
Wollongong,New South Wales,Australia,1/22/1969 12:00:00 AM,Partial High School,Manual,F,S,1,0,0,0,33954,0,46.19
Kirkland,Washington,United States,11/2/1995 12:00:00 AM,Partial College,Manual,F,S,0,0,0,0,29016,0,45.76
West Covina,California,United States,2/26/1967 12:00:00 AM,High School,Manual,F,M,1,0,1,2,33152,1,50.02
Chula Vista,California,United States,10/25/1957 12:00:00 AM,Graduate Degree,Clerical,M,M,1,1,2,2,80331,1,53.77
Braunschweig,Nordrhein-Westfalen,Germany,4/26/1966 12:00:00 AM,Bachelors,Clerical,F,S,1,1,1,1,79235,0,51.62
Kassel,Hessen,Germany,9/20/1989 12:00:00 AM,Graduate Degree,Manual,F,S,0,1,0,0,35390,0,50.42
Lincoln Acres,California,United States,5/18/1994 12:00:00 AM,Graduate Degree,Professional,M,S,0,3,0,0,136457,0,52.17
Wollongong,New South Wales,Australia,10/10/1972 12:00:00 AM,High School,Skilled Manual,F,S,1,1,0,0,53549,0,53.1
Cloverdale,South Australia,Australia,7/12/1981 12:00:00 AM,Partial College,Clerical,F,M,1,0,1,2,85674,1,50.64
Lynnwood,Washington,United States,6/22/1967 12:00:00 AM,Bachelors,Professional,M,M,1,3,0,2,129242,1,52.48
Seattle,Washington,United States,1/7/1976 12:00:00 AM,Partial High School,Skilled Manual,F,M,1,1,2,2,61829,1,52.85
Torrance,California,United States,11/11/1984 12:00:00 AM,Bachelors,Management,M,S,1,3,0,0,111980,1,59.52
Bottrop,Nordrhein-Westfalen,Germany,9/23/1987 12:00:00 AM,Bachelors,Skilled Manual,F,M,1,0,1,1,54675,1,52.61
Tremblay-en-France,Seine Saint Denis,France,3/12/1977 12:00:00 AM,Partial College,Management,F,S,1,3,0,0,106648,1,53.81
Woolston,England,United Kingdom,3/11/1993 12:00:00 AM,Partial High School,Skilled Manual,M,S,0,1,0,0,58037,0,52.65
München,Nordrhein-Westfalen,Germany,11/22/1992 12:00:00 AM,Partial College,Management,F,M,1,2,0,1,106062,1,51.69
Colombes,Hauts de Seine,France,9/22/1985 12:00:00 AM,High School,Manual,M,S,0,1,0,0,28008,0,56.39
Ballard,Washington,United States,2/5/1960 12:00:00 AM,Graduate Degree,Clerical,M,M,1,2,0,3,86828,0,50.62
Lavender Bay,New South Wales,Australia,10/3/1981 12:00:00 AM,Partial College,Skilled Manual,M,S,0,2,0,0,61109,1,57.61
Salem,Oregon,United States,12/5/1958 12:00:00 AM,Graduate Degree,Manual,F,M,1,1,1,2,35142,0,47.02
Bracknell,England,United Kingdom,4/21/1997 12:00:00 AM,High School,Skilled Manual,F,M,0,2,0,0,59673,0,48.54
Coronado,California,United States,3/24/1963 12:00:00 AM,Bachelors,Professional,M,M,1,3,1,2,133272,1,56.63
Pantin,Seine Saint Denis,France,2/26/1963 12:00:00 AM,Partial College,Clerical,M,S,1,3,0,1,81957,0,50.09
Hamburg,Hamburg,Germany,5/23/1994 12:00:00 AM,Partial College,Management,F,S,0,1,0,0,103314,0,52.78
Bendigo,Victoria,Australia,3/16/1987 12:00:00 AM,Graduate Degree,Management,F,S,1,2,0,0,103546,1,51.61
Tremblay-en-France,Seine Saint Denis,France,3/23/1988 12:00:00 AM,Bachelors,Skilled Manual,M,M,0,0,1,1,58317,1,48.05
Concord,California,United States,6/26/1960 12:00:00 AM,Bachelors,Skilled Manual,M,M,1,2,0,2,55825,0,48.53
Sydney,New South Wales,Australia,1/11/1986 12:00:00 AM,Graduate Degree,Manual,F,S,0,1,0,0,36367,0,48.33
London,England,United Kingdom,11/23/1988 12:00:00 AM,Bachelors,Management,F,S,0,2,0,0,107852,1,54.89
Rhodes,New South Wales,Australia,5/11/1996 12:00:00 AM,Bachelors,Management,M,M,1,0,0,0,105888,0,51.31
Royal Oak,British Columbia,Canada,3/14/1976 12:00:00 AM,Partial High School,Manual,M,S,0,1,0,0,31956,0,50.51
Brisbane,Queensland,Australia,4/27/1997 12:00:00 AM,High School,Clerical,F,M,0,0,0,0,83026,1,50.25
Townsville,Queensland,Australia,9/27/1986 12:00:00 AM,Graduate Degree,Management,M,S,1,2,0,0,110808,1,56.85
Colomiers,Garonne (Haute),France,5/11/1968 12:00:00 AM,Partial High School,Skilled Manual,F,M,1,1,2,2,51566,1,50.94
Lemon Grove,California,United States,11/21/1983 12:00:00 AM,Bachelors,Professional,F,M,1,3,1,2,132962,1,54.67
Port Orchard,Washington,United States,2/27/1973 12:00:00 AM,Graduate Degree,Professional,M,S,1,2,0,0,135064,1,55.61
Oak Bay,British Columbia,Canada,3/13/1973 12:00:00 AM,Graduate Degree,Professional,F,S,1,2,0,0,135997,1,54.2
Palo Alto,California,United States,4/14/1991 12:00:00 AM,High School,Skilled Manual,F,S,0,1,0,0,57770,0,49.68
Coronado,California,United States,1/17/1993 12:00:00 AM,Bachelors,Management,M,S,0,1,0,0,113290,0,54.55
Stuttgart,Saarland,Germany,3/4/1962 12:00:00 AM,Partial College,Clerical,F,M,1,1,1,2,81214,0,54.11
Saint Germain en Laye,Yveline,France,6/8/1980 12:00:00 AM,Bachelors,Clerical,F,M,1,2,0,2,80624,0,49.58
München,Hamburg,Germany,2/5/1966 12:00:00 AM,Bachelors,Management,F,S,1,2,0,1,106908,0,53.03
Brisbane,Queensland,Australia,2/4/1985 12:00:00 AM,Bachelors,Skilled Manual,M,S,0,1,0,0,51796,0,56.24
Los Angeles,California,United States,10/24/1990 12:00:00 AM,Graduate Degree,Clerical,M,M,1,2,1,2,80764,1,52.27
Gateshead,England,United Kingdom,5/21/1984 12:00:00 AM,Partial High School,Manual,F,M,0,0,0,1,35297,0,47.28
Redmond,Washington,United States,6/10/1997 12:00:00 AM,Partial College,Clerical,F,S,0,1,0,0,78604,0,51.54
Colma,California,United States,7/2/1983 12:00:00 AM,Bachelors,Management,M,M,1,3,0,0,102869,0,57.71
Oak Bay,British Columbia,Canada,10/4/1975 12:00:00 AM,High School,Skilled Manual,M,M,1,1,1,2,62293,1,54.24
York,England,United Kingdom,3/18/1982 12:00:00 AM,Partial College,Manual,M,S,0,1,0,0,34607,1,48.11
Bremerton,Washington,United States,7/9/1976 12:00:00 AM,Partial College,Skilled Manual,F,M,1,2,1,2,53042,1,50.06
Melton,Victoria,Australia,2/3/1991 12:00:00 AM,Bachelors,Management,F,S,0,1,0,0,106195,0,55.41
Downey,California,United States,5/26/1972 12:00:00 AM,Partial College,Management,F,M,1,2,0,2,106360,1,51.7
Lincoln Acres,California,United States,5/8/1978 12:00:00 AM,Partial College,Management,M,M,1,2,1,1,110288,1,54.03
Renton,Washington,United States,7/26/1992 12:00:00 AM,Graduate Degree,Management,M,S,0,1,0,0,112590,1,52.71
Downey,California,United States,7/23/1969 12:00:00 AM,Partial College,Manual,M,M,1,0,1,2,30844,1,52.73
Lakewood,California,United States,7/27/1960 12:00:00 AM,Graduate Degree,Management,M,M,1,2,0,3,109611,0,51
Sooke,British Columbia,Canada,1/6/1987 12:00:00 AM,Partial College,Management,F,S,1,2,0,0,111685,1,52.96
National City,California,United States,3/21/1959 12:00:00 AM,Graduate Degree,Manual,F,S,1,0,1,1,30259,1,49.14
Imperial Beach,California,United States,1/23/1996 12:00:00 AM,Partial College,Clerical,M,S,0,2,0,0,82339,0,52.62
Burien,Washington,United States,10/10/1981 12:00:00 AM,High School,Clerical,M,S,1,1,0,0,87633,1,61.12
Burlingame,California,United States,4/28/1989 12:00:00 AM,Graduate Degree,Clerical,M,S,0,1,0,0,80782,1,51.66
Lebanon,Oregon,United States,7/3/1976 12:00:00 AM,Partial College,Skilled Manual,F,M,1,1,0,2,57125,1,48.74
Villeneuve-d'Ascq,Nord,France,9/16/1980 12:00:00 AM,Bachelors,Skilled Manual,M,S,0,2,0,0,56092,1,50.33
Ballard,Washington,United States,4/26/1979 12:00:00 AM,Graduate Degree,Professional,F,M,1,2,0,0,131943,1,52.71
Coffs Harbour,New South Wales,Australia,2/4/1970 12:00:00 AM,Partial High School,Skilled Manual,M,M,1,2,0,2,52627,0,50.78
Beverly Hills,California,United States,5/22/1980 12:00:00 AM,Partial College,Manual,M,M,1,1,0,2,26331,0,53.52
Cranbourne,Victoria,Australia,11/2/1994 12:00:00 AM,Bachelors,Manual,M,S,0,1,0,0,27908,0,48.73
Berlin,Hamburg,Germany,9/3/1985 12:00:00 AM,High School,Skilled Manual,M,S,0,1,0,0,56751,0,60.78
Solingen,Nordrhein-Westfalen,Germany,9/11/1973 12:00:00 AM,Bachelors,Manual,M,M,1,1,1,2,32619,1,57.06
Burlingame,California,United States,4/12/1985 12:00:00 AM,Bachelors,Management,F,M,1,3,0,0,105983,0,51.26
Burlingame,California,United States,1/20/1991 12:00:00 AM,Graduate Degree,Professional,F,M,1,1,1,2,128877,1,52.95
Findon,South Australia,Australia,4/2/1964 12:00:00 AM,High School,Skilled Manual,F,S,1,2,1,1,55000,1,49.93
Newton,British Columbia,Canada,9/27/1995 12:00:00 AM,High School,Skilled Manual,F,S,0,1,0,0,50910,0,48.8
Paris,Seine (Paris),France,5/14/1985 12:00:00 AM,Partial College,Skilled Manual,M,M,1,2,1,1,57493,1,52.42
Essen,Hamburg,Germany,4/14/1962 12:00:00 AM,Partial College,Clerical,F,S,1,0,1,1,82095,1,53.16
Silverwater,New South Wales,Australia,5/22/1995 12:00:00 AM,Bachelors,Professional,M,S,0,2,0,0,136001,0,56.7
Lavender Bay,New South Wales,Australia,4/17/1987 12:00:00 AM,Bachelors,Management,F,M,1,3,0,0,104443,1,51.04
Seattle,Washington,United States,7/27/1984 12:00:00 AM,Partial College,Skilled Manual,F,S,0,1,0,0,59013,0,49.99
Seattle,Washington,United States,7/4/1979 12:00:00 AM,Partial College,Skilled Manual,M,S,0,1,0,0,54240,0,56.33
Edmonds,Washington,United States,8/17/1967 12:00:00 AM,Bachelors,Management,F,M,1,3,0,2,103150,1,50.8
Walla Walla,Washington,United States,5/14/1980 12:00:00 AM,Partial College,Management,F,M,1,3,1,2,108823,1,53.12
Pantin,Seine Saint Denis,France,9/7/1996 12:00:00 AM,High School,Clerical,F,S,0,2,0,0,77300,0,53.95
Spring Valley,California,United States,8/23/1977 12:00:00 AM,Partial College,Clerical,F,M,1,2,0,1,82308,1,49.8
Lincoln Acres,California,United States,1/17/1978 12:00:00 AM,Graduate Degree,Professional,F,S,1,1,0,0,129719,0,56.22
Leipzig,Nordrhein-Westfalen,Germany,1/26/1996 12:00:00 AM,Partial College,Manual,M,S,0,0,0,0,36588,0,46.38
Berkeley,California,United States,5/18/1977 12:00:00 AM,Partial College,Clerical,F,S,1,3,0,0,81053,0,50.38
Paris,Seine (Paris),France,9/9/1971 12:00:00 AM,High School,Manual,F,M,1,0,2,2,35160,1,48.62
München,Nordrhein-Westfalen,Germany,11/5/1976 12:00:00 AM,High School,Skilled Manual,M,S,1,1,0,0,57655,0,57.32
Portland,Oregon,United States,5/11/1974 12:00:00 AM,Partial High School,Skilled Manual,M,M,1,2,1,1,61513,1,57.36
Kirkland,Washington,United States,11/3/2000 12:00:00 AM,High School,Skilled Manual,M,M,0,0,0,0,57933,1,48.84
Vancouver,British Columbia,Canada,7/6/1993 12:00:00 AM,Bachelors,Management,M,S,0,2,0,0,104429,1,54.84
Burbank,California,United States,2/23/1972 12:00:00 AM,High School,Manual,M,M,1,0,0,2,32494,1,52.5
Spokane,Washington,United States,7/20/1998 12:00:00 AM,High School,Skilled Manual,F,M,0,2,0,0,51293,0,48.28
Darmstadt,Hessen,Germany,5/12/1965 12:00:00 AM,Partial College,Clerical,M,M,1,3,1,2,78805,1,49.99
Erlangen,Bayern,Germany,1/21/2000 12:00:00 AM,Partial High School,Manual,M,S,0,1,0,0,33244,0,48.21
Bellingham,Washington,United States,6/6/1982 12:00:00 AM,Partial College,Manual,M,M,1,1,1,1,30115,1,59.27
Goulburn,New South Wales,Australia,10/21/1966 12:00:00 AM,Partial College,Skilled Manual,M,S,1,1,1,1,55404,1,50.3
Sunbury,Victoria,Australia,3/7/1973 12:00:00 AM,Partial College,Manual,F,S,0,0,0,0,34165,0,47.46
Puyallup,Washington,United States,5/21/1976 12:00:00 AM,High School,Skilled Manual,M,M,1,2,1,2,57132,1,53.79
Milton Keynes,England,United Kingdom,8/16/1989 12:00:00 AM,Graduate Degree,Professional,M,S,1,2,0,0,132560,0,52.2
Burien,Washington,United States,11/5/1974 12:00:00 AM,High School,Skilled Manual,M,M,1,1,1,2,53062,1,54.72
Westminster,British Columbia,Canada,9/25/1962 12:00:00 AM,Bachelors,Clerical,F,M,1,0,1,2,79950,1,52.93
Woodland Hills,California,United States,2/13/1983 12:00:00 AM,Bachelors,Clerical,M,M,1,2,0,1,83167,1,57.56
Neunkirchen,Saarland,Germany,4/13/1982 12:00:00 AM,Partial College,Clerical,M,S,1,0,0,0,77729,1,51.78
Cergy,Val d'Oise,France,10/7/1973 12:00:00 AM,Partial College,Skilled Manual,F,M,1,1,1,1,54058,1,48.36
Colma,California,United States,4/21/1979 12:00:00 AM,Graduate Degree,Clerical,F,M,1,1,0,2,87071,1,50.5
Renton,Washington,United States,2/20/1995 12:00:00 AM,High School,Manual,F,S,0,0,0,0,26818,0,47.15
Bremerton,Washington,United States,11/10/1973 12:00:00 AM,Bachelors,Skilled Manual,M,M,1,0,0,2,52630,1,49.83
Paris,Seine (Paris),France,8/3/1976 12:00:00 AM,Partial College,Clerical,M,M,1,2,0,2,83410,1,54.85
Darlinghurst,New South Wales,Australia,8/10/1980 12:00:00 AM,Partial College,Clerical,F,M,1,2,1,2,83299,1,51.33
Torrance,California,United States,9/1/1963 12:00:00 AM,Bachelors,Skilled Manual,F,S,1,1,1,1,54201,0,50.72
Oak Bay,British Columbia,Canada,7/14/1986 12:00:00 AM,Graduate Degree,Professional,F,S,1,2,0,0,133136,1,53.04
Metchosin,British Columbia,Canada,2/16/1999 12:00:00 AM,Partial High School,Skilled Manual,M,S,0,2,0,0,60371,1,51.53
Westminster,British Columbia,Canada,2/19/1977 12:00:00 AM,Partial College,Skilled Manual,F,M,1,1,1,2,55220,1,48.65
Salem,Oregon,United States,2/8/1980 12:00:00 AM,Partial College,Clerical,M,M,1,1,0,2,85098,0,53.81
Puyallup,Washington,United States,8/1/1988 12:00:00 AM,Bachelors,Professional,M,S,1,2,0,0,129013,1,54.8
Portland,Oregon,United States,3/2/1988 12:00:00 AM,Bachelors,Management,F,S,0,2,0,0,106013,1,55.82
Downey,California,United States,10/7/1996 12:00:00 AM,Partial College,Clerical,F,S,0,2,0,0,77922,1,51.39
Colomiers,Garonne (Haute),France,10/9/1988 12:00:00 AM,Graduate Degree,Management,F,M,1,3,0,0,104734,0,51.2
Berkeley,California,United States,6/24/1993 12:00:00 AM,Partial College,Clerical,F,S,0,2,0,0,83202,0,53.98
Sydney,New South Wales,Australia,2/26/1964 12:00:00 AM,High School,Skilled Manual,M,M,1,1,1,2,61391,1,50.08
N. Vancouver,British Columbia,Canada,9/9/1971 12:00:00 AM,High School,Clerical,F,S,1,0,0,0,82687,0,52.24
Erlangen,Bayern,Germany,6/20/1995 12:00:00 AM,Partial College,Clerical,M,S,0,1,0,0,83361,0,50.99
Malabar,New South Wales,Australia,7/26/1994 12:00:00 AM,Bachelors,Skilled Manual,F,M,0,2,0,0,57161,1,47.93
Warrington,England,United Kingdom,6/19/1981 12:00:00 AM,Graduate Degree,Management,F,M,1,3,1,2,109320,1,54.16
Newport Beach,California,United States,3/1/1980 12:00:00 AM,Partial College,Manual,M,M,1,1,1,2,27866,0,58.64
Oak Bay,British Columbia,Canada,2/24/1973 12:00:00 AM,High School,Skilled Manual,F,S,1,1,0,0,53889,0,49.64
Caloundra,Queensland,Australia,4/17/1967 12:00:00 AM,Partial High School,Skilled Manual,M,M,1,0,0,2,53916,1,48.5
Caloundra,Queensland,Australia,7/5/1999 12:00:00 AM,High School,Skilled Manual,F,M,0,1,0,0,56880,0,48.52
Townsville,Queensland,Australia,1/5/1977 12:00:00 AM,High School,Clerical,F,M,1,3,1,2,85533,1,53.51
W. Linn,Oregon,United States,7/5/1983 12:00:00 AM,Bachelors,Management,F,S,1,1,0,0,109072,0,51.35
Paris,Seine (Paris),France,1/21/1982 12:00:00 AM,Graduate Degree,Management,M,M,1,4,0,2,110148,0,52.17
Bremerton,Washington,United States,6/23/1985 12:00:00 AM,Partial College,Management,F,M,1,2,1,2,103959,1,55.47
Edmonds,Washington,United States,5/7/1999 12:00:00 AM,High School,Skilled Manual,F,S,0,1,0,0,54230,0,49.34
Port Orchard,Washington,United States,4/21/1978 12:00:00 AM,Bachelors,Professional,F,S,1,2,0,0,133903,1,54.91
Colma,California,United States,5/5/1982 12:00:00 AM,Bachelors,Clerical,M,S,1,1,0,0,79311,1,57.12
Glendale,California,United States,1/21/1981 12:00:00 AM,Partial College,Clerical,F,M,1,2,0,2,84084,1,49.84
Fremont,California,United States,4/26/1989 12:00:00 AM,Bachelors,Skilled Manual,M,S,0,2,0,0,54821,1,51.55
La Jolla,California,United States,9/26/1974 12:00:00 AM,Partial College,Clerical,M,M,1,2,1,2,77748,1,56.89
Newcastle,New South Wales,Australia,6/21/1966 12:00:00 AM,High School,Manual,M,M,1,0,2,2,27122,0,46.82
Dresden,Hessen,Germany,4/6/1983 12:00:00 AM,Partial College,Skilled Manual,M,S,0,0,0,0,62520,1,50.43
Cerritos,California,United States,9/20/1998 12:00:00 AM,Partial College,Skilled Manual,F,S,0,1,0,0,55096,0,48.2
Langford,British Columbia,Canada,4/9/1965 12:00:00 AM,Bachelors,Clerical,M,M,1,2,1,2,83229,1,54.53
Malabar,New South Wales,Australia,8/3/1959 12:00:00 AM,Bachelors,Skilled Manual,F,M,1,0,0,3,60347,0,48.28
